date,nav_base,nav_kd_opt
2012-12-04,500000000.0,500000000.0
2012-12-05,500942715.0370358,500942715.0370358
2012-12-06,500772595.2462571,500772595.2462571
2012-12-07,500854095.2752695,500854095.2752695
2012-12-10,497494063.6092255,497494063.6092255
2012-12-11,498187923.6575915,498187923.6575915
2012-12-12,503535094.3925455,503535094.3925455
2012-12-13,505379144.3925455,505379144.3925455
2012-12-14,504783144.3925455,504783144.3925455
2012-12-17,501825344.3925455,501825344.3925455
2012-12-18,502620011.754856,502620011.754856
2012-12-19,504272311.754856,504272311.754856
2012-12-20,498497561.754856,498497561.754856
2012-12-21,492170061.754856,492170061.754856
2012-12-22,493255061.754856,493255061.754856
2012-12-24,493815711.754856,493815711.754856
2012-12-25,499542761.754856,499542761.754856
2012-12-26,497361461.754856,497361461.754856
2012-12-27,498368511.754856,498368511.754856
2012-12-28,501800361.2373936,501800361.2373936
2013-01-02,506584237.99979436,506584237.99979436
2013-01-03,508260037.99979436,508260037.99979436
2013-01-04,503716687.99979436,503716687.99979436
2013-01-07,501625937.99979436,501625937.99979436
2013-01-08,501718387.99979436,501718387.99979436
2013-01-09,501016387.99979436,501016387.99979436
2013-01-10,508110087.99979436,508110087.99979436
2013-01-11,508341037.99979436,508341037.99979436
2013-01-14,508242537.99979436,508242537.99979436
2013-01-15,506071137.99979436,506071137.99979436
2013-01-16,502634287.99979436,502634287.99979436
2013-01-17,499237537.99979436,499237537.99979436
2013-01-18,503930737.99979436,503930737.99979436
2013-01-21,503279187.99979436,503279187.99979436
2013-01-22,505638242.9595463,505638242.9595463
2013-01-23,505092157.08197284,505092157.08197284
2013-01-24,501684275.7836935,501684275.7836935
2013-01-25,499986325.7836935,499986325.7836935
2013-01-28,505743375.7836935,505743375.7836935
2013-01-29,509077425.7836935,509077425.7836935
2013-01-30,509660225.7836935,509660225.7836935
2013-01-31,513752375.7836935,513752375.7836935
2013-02-01,514878225.7836935,514878225.7836935
2013-02-04,529891775.7836935,529891775.7836935
2013-02-05,527293225.7836935,527293225.7836935
2013-02-06,530356425.7836935,530356425.7836935
2013-02-18,531071575.78369355,531071575.78369355
2013-02-19,529008425.7836935,529008425.7836935
2013-02-20,536615825.7836935,536615825.7836935
2013-02-21,529510125.7836935,529510125.7836935
2013-02-22,528969425.7836935,528969425.7836935
2013-02-23,533281025.7836935,533281025.7836935
2013-02-25,528537225.7836935,528537225.7836935
2013-02-26,526410225.7836935,526410225.7836935
2013-02-27,525726425.7836935,525726425.7836935
2013-03-01,529203525.7836935,529203525.7836935
2013-03-04,520928975.7836935,520928975.7836935
2013-03-05,525719675.7836935,525719675.7836935
2013-03-06,525037825.7836935,525037825.7836935
2013-03-07,525926475.7836935,525926475.7836935
2013-03-08,534291725.7836935,534291725.7836935
2013-03-11,533391625.7836935,533391625.7836935
2013-03-12,529011825.7836935,529011825.7836935
2013-03-13,528849275.7836935,528849275.7836935
2013-03-14,527879575.7836935,527879575.7836935
2013-03-15,527208275.7836935,527208275.7836935
2013-03-18,518848125.7836935,518848125.7836935
2013-03-19,518572925.7836935,518572925.7836935
2013-03-20,515809675.7836935,515809675.7836935
2013-03-21,515397275.7836935,515397275.7836935
2013-03-22,512987975.7836935,512987975.7836935
2013-03-25,520369675.7836935,520369675.7836935
2013-03-26,518465125.7836935,518465125.7836935
2013-03-27,522695275.7836935,522695275.7836935
2013-03-28,521252725.7836935,521252725.7836935
2013-03-29,523544925.7836935,523544925.7836935
2013-04-01,521478475.7836935,521478475.7836935
2013-04-02,520015525.7836935,520015525.7836935
2013-04-03,522212125.7836935,522212125.7836935
2013-04-08,508408775.7836935,508408775.7836935
2013-04-09,508983725.7836935,508983725.7836935
2013-04-10,508870225.7836935,508870225.7836935
2013-04-11,511002825.7836935,511002825.7836935
2013-04-12,509745675.7836935,509745675.7836935
2013-04-15,507239625.7836935,507239625.7836935
2013-04-16,506220125.7836935,506220125.7836935
2013-04-17,500860125.7836935,500860125.7836935
2013-04-18,501007925.8319394,501007925.8319394
2013-04-19,508628375.8319394,508628375.8319394
2013-04-22,509371311.5239155,509371311.5239155
2013-04-23,510236211.5239155,510236211.5239155
2013-04-24,512601743.1678736,512601743.1678736
2013-04-25,511459743.1678736,511459743.1678736
2013-04-26,510257493.1678736,510257493.1678736
2013-04-29,510399093.1678736,510399093.1678736
2013-04-30,513668793.1678736,513668793.1678736
2013-05-02,515975243.1678736,515975243.1678736
2013-05-03,518014493.1678736,518014493.1678736
2013-05-06,518048643.1678736,518048643.1678736
2013-05-07,518305043.1678736,518305043.1678736
2013-05-08,521206993.1678736,521206993.1678736
2013-05-09,522678243.1678736,522678243.1678736
2013-05-10,521811943.1678736,521811943.1678736
2013-05-13,519045393.1678736,519045393.1678736
2013-05-14,519288243.1678736,519288243.1678736
2013-05-15,524201143.1678736,524201143.1678736
2013-05-16,532456543.1678736,532456543.1678736
2013-05-17,531319743.1678736,531319743.1678736
2013-05-20,531251993.1678736,531251993.1678736
2013-05-21,530565843.1678736,530565843.1678736
2013-05-22,531450793.1678736,531450793.1678736
2013-05-23,521837293.1678736,521837293.1678736
2013-05-24,518702937.10418075,518702937.10418075
2013-05-27,523921887.10418075,523921887.10418075
2013-05-28,523821787.10418075,523821787.10418075
2013-05-29,527134280.9265619,527134280.9265619
2013-05-30,520008280.9265619,520008280.9265619
2013-05-31,525350630.9265619,525350630.9265619
2013-06-03,517680680.9265619,517680680.9265619
2013-06-04,516146680.9265619,516146680.9265619
2013-06-05,515160980.9265619,515160980.9265619
2013-06-06,510224767.4493439,510224767.4493439
2013-06-07,511937517.4493439,511937517.4493439
2013-06-10,515085367.4493439,515085367.4493439
2013-06-11,512941817.4493439,512941817.4493439
2013-06-13,503890417.4493439,503890417.4493439
2013-06-14,503302617.4493439,503302617.4493439
2013-06-17,504764567.4493439,504764567.4493439
2013-06-18,506753185.8965453,506753185.8965453
2013-06-19,504741935.8965453,504741935.8965453
2013-06-20,501260885.8965453,501260885.8965453
2013-06-21,497111585.8965453,497111585.8965453
2013-06-24,494923285.8965453,494923285.8965453
2013-06-25,491466635.8965453,491466635.8965453
2013-06-26,496123484.04325765,496123484.04325765
2013-06-27,497437881.70286417,497437881.70286417
2013-06-28,509743831.70286417,509743831.70286417
2013-07-01,507163031.70286417,507163031.70286417
2013-07-02,507294631.70286417,507294631.70286417
2013-07-03,505663081.70286417,505663081.70286417
2013-07-04,505565531.70286417,505565531.70286417
2013-07-05,508322181.70286417,508322181.70286417
2013-07-08,505587881.70286417,505587881.70286417
2013-07-09,511272331.70286417,511272331.70286417
2013-07-10,515759531.70286417,515759531.70286417
2013-07-11,523867231.70286417,523867231.70286417
2013-07-12,526237081.70286417,526237081.70286417
2013-07-15,528054681.70286417,528054681.70286417
2013-07-16,528388792.62076414,528393234.2171137
2013-07-17,532445652.04860616,532439455.30163217
2013-07-18,532394570.3252145,532390971.4095565
2013-07-19,529126970.3252145,529114521.4095565
2013-07-22,530783870.136039,530769159.02153355
2013-07-23,535561208.45331264,535546013.1295375
2013-07-24,533999948.8895972,533963001.1260525
2013-07-25,531310790.0651845,531250159.7188832
2013-07-26,533051994.38680625,533021657.387826
2013-07-29,531573261.07859945,531568289.55570036
2013-07-30,534866711.0785994,534726396.9176554
2013-07-31,531842411.0785994,531818064.09740365
2013-08-01,533249911.07859945,533132732.3932792
2013-08-02,537830125.4291543,537472196.9330066
2013-08-05,538378637.3009641,537966220.3504504
2013-08-06,532769438.3009642,532493793.2652122
2013-08-07,528716227.0509642,528385197.0152122
2013-08-08,526740564.8009642,526397917.7652122
2013-08-09,523399873.33391076,523060533.4093597
2013-08-12,526799272.33391076,526662900.4093597
2013-08-13,525820784.58391076,525909029.6593597
2013-08-14,525780691.2244134,525591165.6393533
2013-08-15,524191575.7244134,523970387.1393533
2013-08-16,525278928.395613,525045565.3515087
2013-08-19,524563895.895613,524393432.8515087
2013-08-20,523878490.645613,523822444.6015087
2013-08-22,522687421.37928814,522663067.8983133
2013-08-23,523146901.4196874,523104537.81312793
2013-08-26,524894269.4196874,524925568.81312793
2013-08-27,523644108.32905215,523652030.38232166
2013-08-28,522528926.26311827,522709049.31398904
2013-08-29,523372683.08411664,523539443.9947393
2013-08-30,529367678.7787642,529554412.0745081
2013-09-02,528564000.4762202,528864831.16111183
2013-09-03,533407401.2361333,533740826.3228006
2013-09-04,537492220.1163849,537674499.5931213
2013-09-05,538854165.5136443,539036709.5211238
2013-09-06,538117044.7636443,538277492.7711238
2013-09-09,537678507.0136443,537987522.0211238
