book,kind,cut,sleeves,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,mean_e45_exposure,exact_t1_ok
BASE_E16_E18_E22_v2s,ref,0.0,,0,heldout_2019_plus,0.18786262611011084,-0.22420865630431908,0.0757582979579513,0.15005046241407355,1856,6119,0.0,2.195322522131772,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,0,sealed_2023_plus,0.255989930276151,-0.13578976506552143,0.1880950477433903,0.16478432312719438,879,6119,0.0,2.195322522131772,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,0,full,0.14407208674819638,-0.22420865630431908,0.031967758596036844,0.13262380750975664,3351,6119,0.0,2.195322522131772,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,1,heldout_2019_plus,0.18203522229472702,-0.2254334443782552,0.06931850010559942,0.15058731210766724,1856,6104,391684.7088881098,2.18569227557563,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,1,sealed_2023_plus,0.2488922261012192,-0.14087148125010163,0.17845648547616838,0.16567513128978922,879,6104,391684.7088881098,2.18569227557563,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,1,full,0.13789395672938531,-0.22543344437825508,0.025177234540257776,0.13297638346349747,3351,6104,391684.7088881098,2.18569227557563,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,2,heldout_2019_plus,0.17628281683062874,-0.226955650132887,0.06280499176418525,0.15098447177832908,1856,6121,746243.4866161725,2.1781887970938945,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,2,sealed_2023_plus,0.24200513903064214,-0.14445484782247153,0.16977771511940637,0.1662921628489395,879,6121,746243.4866161725,2.1781887970938945,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,2,full,0.13174310802986677,-0.2269556501328871,0.018265282963423224,0.13324998592043238,3351,6121,746243.4866161725,2.1781887970938945,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,3,heldout_2019_plus,0.1707297752219452,-0.22881748058361306,0.05632103493013868,0.15164267366134707,1856,6105,1071121.9063740014,2.1763805022912925,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,3,sealed_2023_plus,0.23499216132394207,-0.14972218287494565,0.16013106988646925,0.1672531574943235,879,6105,1071121.9063740014,2.1763805022912925,1.0,True
BASE_E16_E18_E22_v2s,ref,0.0,,3,full,0.12580370452487655,-0.22881748058361318,0.01139496423306996,0.13367145071880282,3351,6105,1071121.9063740014,2.1763805022912925,1.0,True
