date,nav,cash,receivables,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_fin_pub,pre_fin_priv,pre_telecom,pre_0050,pre_def,tgt_financial,tgt_fin_pub,tgt_fin_priv,tgt_telecom,tgt_0050,tgt_def
2012-12-04,500000000.0,500000000.0,0.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7606040224793549,0.0,0.0,0.09347568043416693,0.14592029708647822,0.0
2012-12-05,500961201.7166244,400082001.7166244,0.0,100879200.0,0.20137128315390723,Bull,1.0,0.0,0.0,0.0,0.1535137845734849,0.0,0.0,0.018566308065631875,0.029291190514790424,0.0,0.7728058846316439,0.0,0.0,0.07760676032562519,0.14958735504273085,0.0
2012-12-06,500779285.2991398,299892035.2991398,0.0,200887250.0,0.4011492805258514,Bull,1.0,0.0,0.0,0.0,0.30878064356761764,0.0,0.0,0.033179287737660226,0.05918934922057351,0.0,0.7886988026813241,0.0,0.0,0.06570507024421891,0.14559612707445704,0.0
2012-12-07,500863734.7859812,199824634.78598115,0.0,301039100.0,0.6010399218235153,Bull,1.0,0.0,0.0,0.0,0.4688574629990816,0.0,0.0,0.0437236686927587,0.08845879013167493,0.0,0.8024654745706625,0.0,0.0,0.05677880268316419,0.14075572274617337,0.0
2012-12-10,497689764.09889996,99631514.09889993,0.0,398058250.0,0.7998120088338779,Bull,1.0,0.0,0.0,0.0,0.633874298321534,0.0,0.0,0.05102576309958738,0.11491194741275654,0.0,0.793969271912776,0.0,0.0,0.07644003238242295,0.12959069570480114,0.0
2012-12-11,498617510.2913559,24864710.29135592,0.0,473752800.0,0.9501326973518704,Bull,1.0,0.0,0.0,0.0,0.7544224625809762,0.0,0.0,0.0701439465685093,0.12556628820238486,0.0,0.793969271912776,0.0,0.0,0.07644003238242295,0.12959069570480114,0.0
2012-12-12,503632629.06094,6187579.060940046,0.0,497445050.0,0.9877141020976397,Bull,1.0,0.0,0.0,0.0,0.7856015023048187,0.0,0.0,0.07374621471458694,0.12836638507823397,0.0,0.793969271912776,0.0,0.0,0.07644003238242295,0.12959069570480114,0.0
2012-12-13,505462679.06094,6187579.060940046,0.0,499275100.0,0.9877585837347369,Bull,1.0,0.0,0.0,0.0,0.7853648082139411,0.0,0.0,0.07307364426711095,0.12932013125368497,0.0,0.798369851512743,0.0,0.0,0.06483002428681721,0.13680012420043985,0.0
2012-12-14,504824729.06094,6187579.060940046,0.0,498637150.0,0.9877431141845012,Bull,1.0,0.0,0.0,0.0,0.7868634936701933,0.0,0.0,0.07257964574785518,0.12829997476645286,0.0,0.798369851512743,0.0,0.0,0.06483002428681721,0.13680012420043985,0.0
2012-12-17,501982779.06094,6187579.060940046,0.0,495795200.0,0.9876737224481781,Bull,1.0,0.0,0.0,0.0,0.7872315873848454,0.0,0.0,0.07308218833448542,0.1273599467288472,0.0,0.8097390879690576,0.0,0.0,0.06374929825275255,0.12651161377818992,0.0
2012-12-18,502884245.23568004,1386745.2356800456,0.0,501497500.0,0.9972424166220795,Bull,1.0,0.0,0.0,0.0,0.8039681175744943,0.0,0.0,0.06655627078616078,0.12671802826142445,0.0,0.8097390879690576,0.0,0.0,0.06374929825275255,0.12651161377818992,0.0
2012-12-19,504673045.23568004,1386745.2356800456,0.0,503286300.0,0.9972521908020024,Bull,1.0,0.0,0.0,0.0,0.8044519195797484,0.0,0.0,0.06617769725427526,0.1266225739679788,0.0,0.8097390879690576,0.0,0.0,0.06374929825275255,0.12651161377818992,0.0
2012-12-20,498640395.23568004,1386745.2356800456,0.0,497253650.0,0.9972189472635393,Bull,1.0,0.0,0.0,0.0,0.8044471603838029,0.0,0.0,0.06616852608663082,0.1266032607931055,0.0,0.8097390879690576,0.0,0.0,0.06374929825275255,0.12651161377818992,0.0
2012-12-21,492920145.23568004,1386745.2356800456,0.0,491533400.0,0.9971866736446388,Bull,1.0,0.0,0.0,0.0,0.8036382846771225,0.0,0.0,0.06607946604500489,0.12746892292251136,0.0,0.8078208451003388,0.0,0.0,0.05531197368956441,0.13686718121009686,0.0
2012-12-22,493707395.23568004,1386745.2356800456,0.0,492320650.0,0.9971911596847399,Bull,1.0,0.0,0.0,0.0,0.8034843185013155,0.0,0.0,0.06607962593800393,0.12762721524542045,0.0,0.8078208451003388,0.0,0.0,0.05531197368956441,0.13686718121009686,0.0
2012-12-24,493970645.23568004,1386745.2356800456,0.0,492583900.0,0.9971926565899105,Bull,1.0,0.0,0.0,0.0,0.8041550724344697,0.0,0.0,0.0660806473316367,0.12695693682380416,0.0,0.8078208451003388,0.0,0.0,0.05531197368956441,0.13686718121009686,0.0
2012-12-25,499821845.23568004,1386745.2356800456,0.0,498435100.0,0.9972255209553192,Bull,1.0,0.0,0.0,0.0,0.8035763219004826,0.0,0.0,0.06603572915953022,0.1276134698953065,0.0,0.8078208451003388,0.0,0.0,0.05531197368956441,0.13686718121009686,0.0
2012-12-26,497757195.23568004,1386745.2356800456,0.0,496370450.0,0.9972140126773588,Bull,1.0,0.0,0.0,0.0,0.8030048662797286,0.0,0.0,0.06630542022476066,0.12790372617286958,0.0,0.8078208451003388,0.0,0.0,0.05531197368956441,0.13686718121009686,0.0
2012-12-27,498954295.23568004,1386745.2356800456,0.0,497567550.0,0.9972206968675859,Bull,1.0,0.0,0.0,0.0,0.8034855172669363,0.0,0.0,0.06625757171683312,0.12747760788381643,0.0,0.8270127310570867,0.0,0.0,0.048983980267173294,0.12400328867573986,0.0
2012-12-28,502389656.26875144,204006.26875142148,0.0,502185650.0,0.9995939282065108,Bull,1.0,0.0,0.0,0.0,0.8205976075659154,0.0,0.0,0.05413148869739484,0.12486483194320067,0.0,0.8270127310570867,0.0,0.0,0.048983980267173294,0.12400328867573986,0.0
2013-01-02,506969356.26875144,204006.26875142148,0.0,506765350.0,0.999597596449906,Bull,1.0,0.0,0.0,0.0,0.8212842548599302,0.0,0.0,0.05319650915094632,0.12511683243902946,0.0,0.8270127310570867,0.0,0.0,0.048983980267173294,0.12400328867573986,0.0
2013-01-03,508782456.26875144,204006.26875142148,0.0,508578450.0,0.9995990304574424,Bull,1.0,0.0,0.0,0.0,0.8216679739035175,0.0,0.0,0.0522288055977375,0.12570225095618734,0.0,0.8270127310570867,0.0,0.0,0.048983980267173294,0.12400328867573986,0.0
2013-01-04,504345556.26875144,204006.26875142148,0.0,504141550.0,0.9995955029915189,Bull,1.0,0.0,0.0,0.0,0.8204639554303897,0.0,0.0,0.05313261843377982,0.12599892912734936,0.0,0.8214569981650601,0.0,0.0,0.04423798520037997,0.13430501663455988,0.0
